Wadat   ;Emp;Nbr     ;Empt2   ;Mat               ;Wrk ;Empt3           ;Qty        ;Empt4;Kunnr          ;mvtext                                  ;Vbeln     ;Vbeln1    ;Pcki;Nbrtu     ;Empt5                          ;mvtext1                                 ;Posnr ;Empt6                                                  ;Koli;
00000000;   ;        ;        ;1182101           ;2360;                ;00000000012;     ;0000201138     ;                                        ;2105386669;          ;    ;          ;                               ;                                        ;000001;                                                       ;  0 ;
00000000;   ;        ;        ;1212123           ;2360;                ;00000000010;     ;0000201138     ;                                        ;2105386669;          ;    ;          ;                               ;                                        ;000002;                                                       ;  0 ;
00000000;   ;        ;        ;1621001           ;2360;                ;00000000004;     ;0000201138     ;                                        ;2105386669;          ;    ;          ;                               ;                                        ;000003;                                                       ;  0 ;
00000000;   ;        ;        ;9255201           ;2360;                ;00000000012;     ;0000201138     ;                                        ;2105386669;          ;    ;          ;                               ;                                        ;000004;                                                       ;  0 ;
00000000;   ;        ;        ;9255202           ;2360;                ;00000000012;     ;0000201138     ;                                        ;2105386669;          ;    ;          ;                               ;                                        ;000006;                                                       ;  0 ;
00000000;   ;        ;        ;1102108           ;2360;                ;00000000018;     ;0000201742     ;                                        ;2105386670;          ;    ;          ;                               ;                                        ;000001;                                                       ;  0 ;
00000000;   ;        ;        ;9254301           ;2360;                ;00000000012;     ;0000201742     ;                                        ;2105386670;          ;    ;          ;                               ;                                        ;000002;                                                       ;  0 ;
00000000;   ;        ;        ;9255201           ;2360;                ;00000000012;     ;0000201742     ;                                        ;2105386670;          ;    ;          ;                               ;                                        ;000004;                                                       ;  0 ;
00000000;   ;        ;        ;1462114           ;2360;                ;00000000024;     ;0000201742     ;                                        ;2105386671;          ;    ;          ;                               ;                                        ;000001;                                                       ;  0 ;
00000000;   ;        ;        ;1182201           ;2360;                ;00000000024;     ;0000214324     ;                                        ;2105386672;          ;    ;          ;                               ;                                        ;000001;                                                       ;  0 ;
00000000;   ;        ;        ;9255201           ;2360;                ;00000000012;     ;0000214324     ;                                        ;2105386672;          ;    ;          ;                               ;                                        ;000002;                                                       ;  0 ;
00000000;   ;        ;        ;1462114           ;2360;                ;00000000024;     ;0000214324     ;                                        ;2105386673;          ;    ;          ;                               ;                                        ;000001;                                                       ;  0 ;
00000000;   ;        ;        ;1107101           ;2360;                ;00000000012;     ;0000215155     ;                                        ;2105386676;          ;    ;          ;                               ;                                        ;000001;                                                       ;  0 ;
00000000;   ;        ;        ;1182101           ;2360;                ;00000000012;     ;0000215155     ;                                        ;2105386676;          ;    ;          ;                               ;                                        ;000002;                                                       ;  0 ;
00000000;   ;        ;        ;1621001           ;2360;                ;00000000003;     ;0000215155     ;                                        ;2105386676;          ;    ;          ;                               ;                                        ;000003;                                                       ;  0 ;
00000000;   ;        ;        ;9254302           ;2360;                ;00000000012;     ;0000215155     ;                                        ;2105386676;          ;    ;          ;                               ;                                        ;000004;                                                       ;  0 ;
00000000;   ;        ;        ;1461208           ;2360;                ;00000000024;     ;0000215155     ;                                        ;2105386677;          ;    ;          ;                               ;                                        ;000001;                                                       ;  0 ;
00000000;   ;        ;        ;9254301           ;2360;                ;00000000024;     ;0000209282     ;                                        ;2105386678;          ;    ;          ;                               ;                                        ;000001;                                                       ;  0 ;
00000000;   ;        ;        ;9254304           ;2360;                ;00000000012;     ;0000209282     ;                                        ;2105386678;          ;    ;          ;                               ;                                        ;000003;                                                       ;  0 ;
00000000;   ;        ;        ;9254308           ;2360;                ;00000000012;     ;0000209282     ;                                        ;2105386678;          ;    ;          ;                               ;                                        ;000005;                                                       ;  0 ;
00000000;   ;        ;        ;9255207           ;2360;                ;00000000012;     ;0000209282     ;                                        ;2105386678;          ;    ;          ;                               ;                                        ;000007;                                                       ;  0 ;
00000000;   ;        ;        ;2242106           ;2360;                ;00000000015;     ;0000215885     ;                                        ;2105386679;          ;    ;          ;                               ;                                        ;000001;                                                       ;  0 ;
00000000;   ;        ;        ;9255202           ;2360;                ;00000000012;     ;0000215885     ;                                        ;2105386679;          ;    ;          ;                               ;                                        ;000004;                                                       ;  0 ;
00000000;   ;        ;        ;2071120           ;2360;                ;00000000006;     ;0000214537     ;                                        ;2105386681;          ;    ;          ;                               ;                                        ;000001;                                                       ;  0 ;
00000000;   ;        ;        ;1102108           ;2360;                ;00000000036;     ;0000214213     ;                                        ;2105386682;          ;    ;          ;                               ;                                        ;000001;                                                       ;  0 ;
00000000;   ;        ;        ;1107101           ;2360;                ;00000000012;     ;0000214213     ;                                        ;2105386682;          ;    ;          ;                               ;                                        ;000002;                                                       ;  0 ;
00000000;   ;        ;        ;1211407           ;2360;                ;00000000010;     ;0000214213     ;                                        ;2105386683;          ;    ;          ;                               ;                                        ;000001;                                                       ;  0 ;
00000000;   ;        ;        ;1212123           ;2360;                ;00000000010;     ;0000214213     ;                                        ;2105386684;          ;    ;          ;                               ;                                        ;000001;                                                       ;  0 ;
00000000;   ;        ;        ;1621001           ;2360;                ;00000000010;     ;0000214213     ;                                        ;2105386684;          ;    ;          ;                               ;                                        ;000002;                                                       ;  0 ;
00000000;   ;        ;        ;1462116           ;2360;                ;00000000024;     ;0000215977     ;                                        ;2105386685;          ;    ;          ;                               ;                                        ;000001;                                                       ;  0 ;
00000000;   ;        ;        ;1621001           ;2360;                ;00000000010;     ;0000215977     ;                                        ;2105386686;          ;    ;          ;                               ;                                        ;000001;                                                       ;  0 ;
00000000;   ;        ;        ;9254303           ;2360;                ;00000000012;     ;0000215977     ;                                        ;2105386686;          ;    ;          ;                               ;                                        ;000002;                                                       ;  0 ;
00000000;   ;        ;        ;9254304           ;2360;                ;00000000012;     ;0000215977     ;                                        ;2105386686;          ;    ;          ;                               ;                                        ;000004;                                                       ;  0 ;
00000000;   ;        ;        ;1212193           ;2360;                ;00000000010;     ;0000215411     ;                                        ;2105386687;          ;    ;          ;                               ;                                        ;000001;                                                       ;  0 ;
00000000;   ;        ;        ;1461208           ;2360;                ;00000000024;     ;0000215411     ;                                        ;2105386687;          ;    ;          ;                               ;                                        ;000002;                                                       ;  0 ;
00000000;   ;        ;        ;1461213           ;2360;                ;00000000030;     ;0000215411     ;                                        ;2105386687;          ;    ;          ;                               ;                                        ;000003;                                                       ;  0 ;
00000000;   ;        ;        ;1462114           ;2360;                ;00000000024;     ;0000215411     ;                                        ;2105386687;          ;    ;          ;                               ;                                        ;000004;                                                       ;  0 ;
00000000;   ;        ;        ;1621001           ;2360;                ;00000000001;     ;0000215411     ;                                        ;2105386688;          ;    ;          ;                               ;                                        ;000001;                                                       ;  0 ;
00000000;   ;        ;        ;9254301           ;2360;                ;00000000012;     ;0000215411     ;                                        ;2105386688;          ;    ;          ;                               ;                                        ;000002;                                                       ;  0 ;
00000000;   ;        ;        ;9254302           ;2360;                ;00000000012;     ;0000215411     ;                                        ;2105386688;          ;    ;          ;                               ;                                        ;000004;                                                       ;  0 ;
00000000;   ;        ;        ;1212123           ;2360;                ;00000000010;     ;0000215956     ;                                        ;2105386689;          ;    ;          ;                               ;                                        ;000001;                                                       ;  0 ;
00000000;   ;        ;        ;1621001           ;2360;                ;00000000001;     ;0000215956     ;                                        ;2105386689;          ;    ;          ;                               ;                                        ;000002;                                                       ;  0 ;
00000000;   ;        ;        ;2242106           ;2360;                ;00000000015;     ;0000215956     ;                                        ;2105386689;          ;    ;          ;                               ;                                        ;000003;                                                       ;  0 ;
00000000;   ;        ;        ;9254301           ;2360;                ;00000000012;     ;0000215956     ;                                        ;2105386689;          ;    ;          ;                               ;                                        ;000004;                                                       ;  0 ;
00000000;   ;        ;        ;9254304           ;2360;                ;00000000012;     ;0000215956     ;                                        ;2105386689;          ;    ;          ;                               ;                                        ;000006;                                                       ;  0 ;
00000000;   ;        ;        ;1462114           ;2360;                ;00000000024;     ;0000215956     ;                                        ;2105386690;          ;    ;          ;                               ;                                        ;000001;                                                       ;  0 ;
00000000;   ;        ;        ;2071102           ;2360;                ;00000000012;     ;0000215956     ;                                        ;2105386690;          ;    ;          ;                               ;                                        ;000002;                                                       ;  0 ;
00000000;   ;        ;        ;9254301           ;2360;                ;00000000012;     ;0000215969     ;                                        ;2105386691;          ;    ;          ;                               ;                                        ;000001;                                                       ;  0 ;
00000000;   ;        ;        ;9254302           ;2360;                ;00000000012;     ;0000215969     ;                                        ;2105386691;          ;    ;          ;                               ;                                        ;000003;                                                       ;  0 ;
00000000;   ;        ;        ;9254303           ;2360;                ;00000000012;     ;0000215969     ;                                        ;2105386691;          ;    ;          ;                               ;                                        ;000005;                                                       ;  0 ;
00000000;   ;        ;        ;1462114           ;2360;                ;00000000024;     ;0000215228     ;                                        ;2105386692;          ;    ;          ;                               ;                                        ;000001;                                                       ;  0 ;
00000000;   ;        ;        ;1182101           ;2360;                ;00000000012;     ;0000100008     ;                                        ;2105386693;          ;    ;          ;                               ;                                        ;000001;                                                       ;  0 ;
00000000;   ;        ;        ;1182201           ;2360;                ;00000000048;     ;0000100008     ;                                        ;2105386693;          ;    ;          ;                               ;                                        ;000002;                                                       ;  0 ;
00000000;   ;        ;        ;1621001           ;2360;                ;00000000010;     ;0000100008     ;                                        ;2105386693;          ;    ;          ;                               ;                                        ;000003;                                                       ;  0 ;
00000000;   ;        ;        ;2242103           ;2360;                ;00000000016;     ;0000100008     ;                                        ;2105386693;          ;    ;          ;                               ;                                        ;000004;                                                       ;  0 ;
00000000;   ;        ;        ;2242106           ;2360;                ;00000000015;     ;0000100008     ;                                        ;2105386693;          ;    ;          ;                               ;                                        ;000005;                                                       ;  0 ;
00000000;   ;        ;        ;9254301           ;2360;                ;00000000024;     ;0000100008     ;                                        ;2105386693;          ;    ;          ;                               ;                                        ;000006;                                                       ;  0 ;
00000000;   ;        ;        ;9254304           ;2360;                ;00000000012;     ;0000100008     ;                                        ;2105386693;          ;    ;          ;                               ;                                        ;000008;                                                       ;  0 ;
00000000;   ;        ;        ;9254307           ;2360;                ;00000000012;     ;0000100008     ;                                        ;2105386693;          ;    ;          ;                               ;                                        ;000010;                                                       ;  0 ;
00000000;   ;        ;        ;1462111           ;2360;                ;00000000024;     ;0000100008     ;                                        ;2105386694;          ;    ;          ;                               ;                                        ;000001;                                                       ;  0 ;
00000000;   ;        ;        ;1462114           ;2360;                ;00000000024;     ;0000100008     ;                                        ;2105386694;          ;    ;          ;                               ;                                        ;000002;                                                       ;  0 ;
00000000;   ;        ;        ;9254301           ;2360;                ;00000000012;     ;0000215913     ;                                        ;2105386695;          ;    ;          ;                               ;                                        ;000001;                                                       ;  0 ;
00000000;   ;        ;        ;1212301           ;2360;                ;00000000030;     ;0000215758     ;                                        ;2105386696;          ;    ;          ;                               ;                                        ;000001;                                                       ;  0 ;
00000000;   ;        ;        ;1254121           ;2360;                ;00000000002;     ;0000215249     ;                                        ;2105386699;          ;    ;          ;                               ;                                        ;000001;                                                       ;  0 ;
00000000;   ;        ;        ;9254302           ;2360;                ;00000000012;     ;0000215249     ;                                        ;2105386699;          ;    ;          ;                               ;                                        ;000002;                                                       ;  0 ;
00000000;   ;        ;        ;9254304           ;2360;                ;00000000012;     ;0000215249     ;                                        ;2105386699;          ;    ;          ;                               ;                                        ;000004;                                                       ;  0 ;
00000000;   ;        ;        ;1461213           ;2360;                ;00000000030;     ;0000215249     ;                                        ;2105386700;          ;    ;          ;                               ;                                        ;000001;                                                       ;  0 ;
00000000;   ;        ;        ;1182201           ;2360;                ;00000000024;     ;0000215853     ;                                        ;2105386701;          ;    ;          ;                               ;                                        ;000001;                                                       ;  0 ;
00000000;   ;        ;        ;1621001           ;2360;                ;00000000001;     ;0000215853     ;                                        ;2105386701;          ;    ;          ;                               ;                                        ;000002;                                                       ;  0 ;
00000000;   ;        ;        ;9254302           ;2360;                ;00000000012;     ;0000215853     ;                                        ;2105386701;          ;    ;          ;                               ;                                        ;000003;                                                       ;  0 ;
00000000;   ;        ;        ;1182201           ;2360;                ;00000000024;     ;0000215887     ;                                        ;2105386702;          ;    ;          ;                               ;                                        ;000001;                                                       ;  0 ;
00000000;   ;        ;        ;1621001           ;2360;                ;00000000003;     ;0000215887     ;                                        ;2105386702;          ;    ;          ;                               ;                                        ;000002;                                                       ;  0 ;
00000000;   ;        ;        ;9254302           ;2360;                ;00000000012;     ;0000215887     ;                                        ;2105386702;          ;    ;          ;                               ;                                        ;000003;                                                       ;  0 ;
00000000;   ;        ;        ;9254303           ;2360;                ;00000000012;     ;0000215887     ;                                        ;2105386702;          ;    ;          ;                               ;                                        ;000005;                                                       ;  0 ;
00000000;   ;        ;        ;9254304           ;2360;                ;00000000012;     ;0000215887     ;                                        ;2105386702;          ;    ;          ;                               ;                                        ;000007;                                                       ;  0 ;
00000000;   ;        ;        ;1182101           ;2360;                ;00000000012;     ;0000205123     ;                                        ;2105386703;          ;    ;          ;                               ;                                        ;000001;                                                       ;  0 ;
00000000;   ;        ;        ;1621001           ;2360;                ;00000000010;     ;0000205123     ;                                        ;2105386703;          ;    ;          ;                               ;                                        ;000002;                                                       ;  0 ;
00000000;   ;        ;        ;1102108           ;2360;                ;00000000018;     ;0000215344     ;                                        ;2105386706;          ;    ;          ;                               ;                                        ;000001;                                                       ;  0 ;
00000000;   ;        ;        ;1122173           ;2360;                ;00000000008;     ;0000215344     ;                                        ;2105386706;          ;    ;          ;                               ;                                        ;000002;                                                       ;  0 ;
00000000;   ;        ;        ;1122208           ;2360;                ;00000000008;     ;0000215344     ;                                        ;2105386706;          ;    ;          ;                               ;                                        ;000003;                                                       ;  0 ;
00000000;   ;        ;        ;1182101           ;2360;                ;00000000012;     ;0000215344     ;                                        ;2105386706;          ;    ;          ;                               ;                                        ;000004;                                                       ;  0 ;
00000000;   ;        ;        ;1621001           ;2360;                ;00000000002;     ;0000215344     ;                                        ;2105386706;          ;    ;          ;                               ;                                        ;000005;                                                       ;  0 ;
00000000;   ;        ;        ;2241108           ;2360;                ;00000000012;     ;0000215344     ;                                        ;2105386706;          ;    ;          ;                               ;                                        ;000006;                                                       ;  0 ;
00000000;   ;        ;        ;2242120           ;2360;                ;00000015000;     ;0000215344     ;                                        ;2105386706;          ;    ;          ;                               ;                                        ;000007;                                                       ;  0 ;
00000000;   ;        ;        ;2242123           ;2360;                ;00000010000;     ;0000215344     ;                                        ;2105386706;          ;    ;          ;                               ;                                        ;000008;                                                       ;  0 ;
00000000;   ;        ;        ;9254302           ;2360;                ;00000000012;     ;0000215344     ;                                        ;2105386706;          ;    ;          ;                               ;                                        ;000009;                                                       ;  0 ;
00000000;   ;        ;        ;9254303           ;2360;                ;00000000012;     ;0000215344     ;                                        ;2105386706;          ;    ;          ;                               ;                                        ;000011;                                                       ;  0 ;
00000000;   ;        ;        ;1461208           ;2360;                ;00000000024;     ;0000215344     ;                                        ;2105386707;          ;    ;          ;                               ;                                        ;000001;                                                       ;  0 ;
00000000;   ;        ;        ;1461603           ;2360;                ;00000000012;     ;0000215344     ;                                        ;2105386707;          ;    ;          ;                               ;                                        ;000002;                                                       ;  0 ;
00000000;   ;        ;        ;1462111           ;2360;                ;00000000024;     ;0000215344     ;                                        ;2105386707;          ;    ;          ;                               ;                                        ;000003;                                                       ;  0 ;
