Erdat   ;Vbeln     ;Wadaf   ;Wadat   ;TimF;TimT;Werk;Matnr             ;Empt       ;Lgmng      ;Kunnr          ;Name1                                   ;Stcd2         ;Name3                         ;Telf1               ;Empt1                                                                                                        ;Sxol1                                                                           ;Empt2                                                                           ;Ort02               ;Ort01                    ;Stras                        ;Pstlz;Text1                         ;Posnr ;Text2                                         ;Kunrg          ;Kunpy          ;
20181220;2105536255;20181220;20181220;0000;2359;2490;2142111           ;           ;00000000001;0000142789     ;****************************************;**************;******************************;********************;                                                                                                             ;                                                                                ;                                                                                ;********************;*************************;*****************************;*****;–—œ” –ŸÀ«”«                   ;000009;                                              ;               ;               ;
20181220;2105536255;20181220;20181220;0000;2359;2490;2363103           ;           ;00000000002;0000142789     ;****************************************;**************;******************************;********************;                                                                                                             ;                                                                                ;                                                                                ;********************;*************************;*****************************;*****;–—œ” –ŸÀ«”«                   ;000010;                                              ;               ;               ;
20181220;2105536255;20181220;20181220;0000;2359;2490;2365102           ;           ;00000000002;0000142789     ;****************************************;**************;******************************;********************;                                                                                                             ;                                                                                ;                                                                                ;********************;*************************;*****************************;*****;–—œ” –ŸÀ«”«                   ;000011;                                              ;               ;               ;
20181220;2105536255;20181220;20181220;0000;2359;2490;2365101           ;           ;00000000003;0000142789     ;****************************************;**************;******************************;********************;                                                                                                             ;                                                                                ;                                                                                ;********************;*************************;*****************************;*****;–—œ” –ŸÀ«”«                   ;000012;                                              ;               ;               ;
20181220;2105536255;20181220;20181220;0000;2359;2490;2365112           ;           ;00000000001;0000142789     ;****************************************;**************;******************************;********************;                                                                                                             ;                                                                                ;                                                                                ;********************;*************************;*****************************;*****;–—œ” –ŸÀ«”«                   ;000013;                                              ;               ;               ;
20181220;2105536255;20181220;20181220;0000;2359;2490;2361103           ;           ;00000000001;0000142789     ;****************************************;**************;******************************;********************;                                                                                                             ;                                                                                ;                                                                                ;********************;*************************;*****************************;*****;–—œ” –ŸÀ«”«                   ;000014;                                              ;               ;               ;
20181220;2105536255;20181220;20181220;0000;2359;2490;2363134           ;           ;00000000001;0000142789     ;****************************************;**************;******************************;********************;                                                                                                             ;                                                                                ;                                                                                ;********************;*************************;*****************************;*****;–—œ” –ŸÀ«”«                   ;000015;                                              ;               ;               ;
20181220;2105536255;20181220;20181220;0000;2359;2490;2361106           ;           ;00000000002;0000142789     ;****************************************;**************;******************************;********************;                                                                                                             ;                                                                                ;                                                                                ;********************;*************************;*****************************;*****;–—œ” –ŸÀ«”«                   ;000016;                                              ;               ;               ;
20181220;2105536255;20181220;20181220;0000;2359;2490;2366108           ;           ;00000000001;0000142789     ;****************************************;**************;******************************;********************;                                                                                                             ;                                                                                ;                                                                                ;********************;*************************;*****************************;*****;–—œ” –ŸÀ«”«                   ;000017;                                              ;               ;               ;
20181220;2105536255;20181220;20181220;0000;2359;2490;2365145           ;           ;00000000002;0000142789     ;****************************************;**************;******************************;********************;                                                                                                             ;                                                                                ;                                                                                ;********************;*************************;*****************************;*****;–—œ” –ŸÀ«”«                   ;000018;                                              ;               ;               ;
